13.12.2023 02:54:47.365 [http-bio-8080-exec-2] INFO   index.jsp - index.jsp is opened!
13.12.2023 02:54:57.072 [http-bio-8080-exec-6] INFO   u.UFO00AcceptChallengeService - Answer was received. isAccepted: false; message: Ви відхилили виклик; next page: losePage.jsp
13.12.2023 02:54:57.073 [http-bio-8080-exec-6] INFO   u.w.UFO00ChallengeServlet - Answer was received. Message: Ви відхилили виклик; forwarding to page: losePage.jsp; status was set: 200.
13.12.2023 02:55:47.681 [http-bio-8080-exec-8] INFO   u.UFO00AcceptChallengeService - Answer was received. isAccepted: false; message: Ви відхилили виклик; next page: losePage.jsp
13.12.2023 02:55:47.730 [http-bio-8080-exec-8] INFO   u.w.UFO00ChallengeServlet - Answer was received. Message: Ви відхилили виклик; forwarding to page: losePage.jsp; status was set: 200.
13.12.2023 02:55:48.252 [http-bio-8080-exec-8] INFO   losePage.jsp - losePage.jsp is opened!
13.12.2023 02:56:05.529 [http-bio-8080-exec-1] INFO   index.jsp - index.jsp is opened!
13.12.2023 02:56:09.131 [http-bio-8080-exec-4] INFO   u.UFO00AcceptChallengeService - Answer was received. isAccepted: true; message: Ви прийняли виклик; next page: climbCaptainBridge.jsp
13.12.2023 02:56:09.132 [http-bio-8080-exec-4] INFO   u.w.UFO00ChallengeServlet - Answer was received. Message: Ви прийняли виклик; forwarding to page: climbCaptainBridge.jsp; status was set: 200.
13.12.2023 02:56:09.304 [http-bio-8080-exec-4] INFO   c.jsp - climbCaptainBridge.jsp is opened!
13.12.2023 02:56:13.843 [http-bio-8080-exec-8] INFO   u.UFO01CaptainBridgeService - Answer was received. isAccepted: false; message: Ви відмовилися підніматися на капітанський місток. Ви не пішли на переговори!; next page: losePage.jsp
13.12.2023 02:56:13.844 [http-bio-8080-exec-8] INFO   u.w.UFO01CaptainBridgeServlet - Answer was received. Message: Ви відмовилися підніматися на капітанський місток. Ви не пішли на переговори!; forwarding to page: losePage.jsp; status was set: 200.
13.12.2023 02:56:13.848 [http-bio-8080-exec-8] INFO   losePage.jsp - losePage.jsp is opened!
13.12.2023 02:56:20.190 [http-bio-8080-exec-9] INFO   index.jsp - index.jsp is opened!
13.12.2023 02:56:25.468 [http-bio-8080-exec-6] INFO   u.UFO00AcceptChallengeService - Answer was received. isAccepted: true; message: Ви прийняли виклик; next page: climbCaptainBridge.jsp
13.12.2023 02:56:25.468 [http-bio-8080-exec-6] INFO   u.w.UFO00ChallengeServlet - Answer was received. Message: Ви прийняли виклик; forwarding to page: climbCaptainBridge.jsp; status was set: 200.
13.12.2023 02:56:25.473 [http-bio-8080-exec-6] INFO   c.jsp - climbCaptainBridge.jsp is opened!
13.12.2023 02:56:28.098 [http-bio-8080-exec-7] INFO   u.UFO01CaptainBridgeService - Answer was received. isAccepted: true; message: Ви піднялися на капітанський місток; next page: whoAreYou.jsp
13.12.2023 02:56:28.099 [http-bio-8080-exec-7] INFO   u.w.UFO01CaptainBridgeServlet - Answer was received. Message: Ви піднялися на капітанський місток; forwarding to page: whoAreYou.jsp; status was set: 200.
13.12.2023 02:56:28.253 [http-bio-8080-exec-7] INFO   whoAreYou.jsp - whoAreYou.jsp is opened!
13.12.2023 02:56:30.632 [http-bio-8080-exec-7] INFO   u.UFO02WhoAreYouService - Answer was received. isAccepted: true; message: Ви розповіли правду про себе; next page: youWon.jsp
13.12.2023 02:56:30.633 [http-bio-8080-exec-7] INFO   u.w.UFO02WhoAreYouServlet - Answer was received. Message: Ви розповіли правду про себе; forwarding to page: youWon.jsp; status was set: 200.
13.12.2023 02:56:30.770 [http-bio-8080-exec-7] INFO   youWon.jsp - youWon.jsp is opened!
13.12.2023 02:56:46.849 [http-bio-8080-exec-2] INFO   u.UFO02WhoAreYouService - Answer was received. isAccepted: true; message: Ви розповіли правду про себе; next page: youWon.jsp
13.12.2023 02:56:46.850 [http-bio-8080-exec-2] INFO   u.w.UFO02WhoAreYouServlet - Answer was received. Message: Ви розповіли правду про себе; forwarding to page: youWon.jsp; status was set: 200.
13.12.2023 02:56:46.854 [http-bio-8080-exec-2] INFO   youWon.jsp - youWon.jsp is opened!
13.12.2023 02:56:51.209 [http-bio-8080-exec-2] INFO   index.jsp - index.jsp is opened!
13.12.2023 02:57:21.993 [http-bio-8080-exec-10] INFO   u.UFO00AcceptChallengeService - Answer was received. isAccepted: false; message: Ви відхилили виклик; next page: losePage.jsp
13.12.2023 02:57:21.993 [http-bio-8080-exec-10] INFO   u.w.UFO00ChallengeServlet - Answer was received. Message: Ви відхилили виклик; forwarding to page: losePage.jsp; status was set: 200.
13.12.2023 02:57:22.167 [http-bio-8080-exec-10] INFO   losePage.jsp - losePage.jsp is opened!
13.12.2023 02:57:42.769 [http-bio-8080-exec-7] INFO   index.jsp - index.jsp is opened!
13.12.2023 02:58:25.974 [http-bio-8080-exec-4] INFO   u.UFO00AcceptChallengeService - Answer was received. isAccepted: true; message: Ви прийняли виклик; next page: climbCaptainBridge.jsp
13.12.2023 02:58:25.978 [http-bio-8080-exec-4] INFO   u.w.UFO00ChallengeServlet - Answer was received. Message: Ви прийняли виклик; forwarding to page: climbCaptainBridge.jsp; status was set: 200.
13.12.2023 02:58:26.123 [http-bio-8080-exec-4] INFO   c.jsp - climbCaptainBridge.jsp is opened!
13.12.2023 02:59:32.437 [http-bio-8080-exec-5] INFO   u.UFO01CaptainBridgeService - Answer was received. isAccepted: false; message: Ви відмовилися підніматися на капітанський місток. Ви не пішли на переговори!; next page: losePage.jsp
13.12.2023 02:59:32.441 [http-bio-8080-exec-5] INFO   u.w.UFO01CaptainBridgeServlet - Answer was received. Message: Ви відмовилися підніматися на капітанський місток. Ви не пішли на переговори!; forwarding to page: losePage.jsp; status was set: 200.
13.12.2023 02:59:32.448 [http-bio-8080-exec-5] INFO   losePage.jsp - losePage.jsp is opened!
13.12.2023 02:59:41.426 [http-bio-8080-exec-3] INFO   index.jsp - index.jsp is opened!
13.12.2023 02:59:44.264 [http-bio-8080-exec-7] INFO   index.jsp - index.jsp is opened!
13.12.2023 02:59:45.838 [http-bio-8080-exec-7] INFO   index.jsp - index.jsp is opened!
13.12.2023 02:59:46.465 [http-bio-8080-exec-7] INFO   index.jsp - index.jsp is opened!
13.12.2023 02:59:48.152 [http-bio-8080-exec-7] INFO   u.UFO00AcceptChallengeService - Answer was received. isAccepted: true; message: Ви прийняли виклик; next page: climbCaptainBridge.jsp
13.12.2023 02:59:48.154 [http-bio-8080-exec-7] INFO   u.w.UFO00ChallengeServlet - Answer was received. Message: Ви прийняли виклик; forwarding to page: climbCaptainBridge.jsp; status was set: 200.
